# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 07:04:23
動作種別,開動作
温度[℃],31.3
湿度[%RH],51.6
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.9,10.5,24.1,205.0,287.9,0.047,0.156,8.584
0.1,10.5,9.3,24.1,205.0,287.5,0.044,0.156,8.577
0.15,10.2,9.1,24.1,205.1,296.3,0.044,0.171,8.583
0.2,10.1,10.1,24.1,205.0,289.1,0.043,0.167,8.577
0.25,10.7,10.9,24.1,204.9,292.2,0.033,0.178,8.585
0.3,10.4,9.8,24.1,204.8,279.4,0.036,0.154,8.572
0.35,9.9,10.0,24.1,204.9,281.1,0.051,0.172,8.583
0.4,9.5,9.3,24.1,204.9,271.7,0.042,0.126,8.583
0.45,9.7,9.7,24.1,205.0,277.2,0.048,0.184,8.585
0.5,9.0,10.2,24.1,205.0,273.6,0.036,0.13,8.576
0.55,9.2,8.8,24.1,205.1,284.6,0.042,0.203,8.578
0.6,10.1,10.6,24.1,205.1,285.0,0.038,0.136,8.583
0.65,10.6,10.2,24.1,205.0,295.1,0.047,0.191,8.583
0.7,10.1,9.4,24.1,205.1,292.4,0.042,0.14,8.58
0.75,10.5,9.8,24.1,205.1,296.5,0.043,0.168,8.58
0.8,75.1,73.3,24.1,205.0,289.1,0.56,0.938,8.606
0.85,188.8,246.9,24.1,204.9,318.8,0.112,0.203,8.582
0.9,187.2,349.5,24.1,204.6,401.3,0.344,0.272,8.59
0.95,154.2,149.5,24.1,204.7,405.7,0.191,0.202,8.574
1.0,228.5,221.9,24.1,204.6,415.3,0.081,0.223,8.579
1.05,270.0,279.6,24.1,204.5,487.0,0.189,0.246,8.582
1.1,267.7,301.5,24.1,204.4,582.0,0.242,0.378,8.578
1.15,275.7,318.6,24.1,204.2,666.6,0.273,0.365,8.584
1.2,272.5,326.3,24.1,204.0,729.9,0.292,0.407,8.572
1.25,270.8,321.4,24.1,203.9,786.8,0.332,0.434,8.589
1.3,301.5,346.6,24.1,203.8,848.8,0.417,0.429,8.587
1.35,317.5,362.1,24.1,203.5,897.4,0.431,0.533,8.584
1.4,327.8,368.2,24.1,203.2,964.9,0.423,0.734,8.596
1.45,365.9,408.9,24.1,203.0,1026.1,0.414,0.723,8.588
1.5,363.0,377.1,24.1,203.0,1037.4,0.581,0.698,8.59
1.55,346.8,364.6,24.1,203.2,972.8,0.748,1.136,8.635
1.6,353.3,357.4,24.1,203.6,885.3,0.672,0.887,8.615
1.65,354.8,357.2,24.1,203.7,809.2,0.68,0.648,8.584
1.7,356.2,356.1,24.1,204.0,753.2,0.838,0.904,8.585
1.75,364.3,347.5,24.1,204.0,722.5,0.801,0.944,8.63
1.8,348.9,356.9,24.1,204.1,711.5,0.653,0.694,8.578
1.85,349.2,357.0,24.1,204.0,720.2,0.593,0.751,8.59
1.9,351.5,353.5,24.1,203.9,743.1,0.717,0.748,8.624
1.95,345.5,360.5,24.1,203.8,777.0,0.591,0.77,8.592
2.0,344.2,359.7,24.1,203.7,803.5,0.701,0.74,8.595
2.05,351.3,353.4,24.1,203.5,813.7,0.561,0.748,8.609
2.1,340.8,369.7,24.1,203.6,819.2,0.643,0.646,8.597
2.15,352.2,351.0,24.1,203.6,804.8,0.744,0.681,8.638
2.2,345.7,357.0,24.1,203.8,787.2,0.616,0.665,8.609
2.25,348.1,357.5,24.1,203.9,780.8,0.65,0.749,8.634
2.3,354.2,354.6,24.1,203.9,774.2,0.761,0.837,8.602
2.35,347.2,353.5,24.1,203.9,781.6,0.566,0.685,8.637
2.4,342.7,358.8,24.1,203.9,788.9,0.631,0.748,8.587
2.45,350.9,355.7,24.1,203.8,795.3,0.754,0.815,8.614
2.5,346.1,360.1,24.1,203.8,793.6,0.61,0.745,8.601
2.55,348.8,354.2,24.1,203.7,786.5,0.61,0.811,8.623
2.6,352.3,354.1,24.1,203.7,777.1,0.634,0.9,8.611
2.65,347.2,358.5,24.1,203.7,769.2,0.643,0.793,8.624
2.7,347.6,356.0,24.1,203.8,771.4,0.607,0.773,8.61
2.75,325.5,331.6,24.1,203.8,767.5,0.666,0.738,8.623
2.8,311.4,298.0,24.1,204.2,671.3,0.922,1.484,8.699
2.85,312.4,279.2,24.1,204.5,542.4,0.47,0.688,8.576
2.9,274.4,267.0,24.1,204.8,432.1,0.473,0.69,8.593
2.95,200.4,211.1,24.1,204.9,365.6,0.315,0.414,8.575
3.0,148.5,143.2,24.1,205.0,365.7,0.272,0.394,8.584
3.05,107.2,117.5,24.1,204.7,369.1,0.246,0.342,8.583
3.1,86.9,62.7,24.1,204.8,346.9,0.204,0.296,8.579
3.15,87.3,36.8,24.1,204.8,322.6,0.14,0.225,8.586
3.2,61.8,46.3,24.1,204.9,305.7,0.163,0.226,8.579
