# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 22:52:22
動作種別,閉動作
温度[℃],34.8
湿度[%RH],42.9
気圧[hPa],1014
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.9,9.5,24.1,205.0,287.2,0.049,0.178,8.596
0.1,10.2,10.6,24.1,205.0,283.1,0.046,0.127,8.59
0.15,10.4,10.8,24.1,204.9,286.3,0.045,0.176,8.592
0.2,10.1,9.8,24.1,205.0,281.1,0.044,0.134,8.585
0.25,9.7,10.0,24.1,205.0,285.2,0.045,0.172,8.596
0.3,10.4,8.5,24.1,205.1,279.7,0.044,0.136,8.594
0.35,10.2,10.2,24.1,205.0,284.2,0.048,0.168,8.592
0.4,9.8,10.3,24.1,205.0,280.7,0.041,0.143,8.587
0.45,9.7,10.2,24.1,204.9,285.4,0.04,0.158,8.597
0.5,10.1,11.2,24.1,205.0,280.8,0.045,0.155,8.588
0.55,10.0,10.0,24.1,205.0,285.0,0.044,0.139,8.594
0.6,9.9,9.7,24.1,205.1,281.2,0.048,0.166,8.586
0.65,10.0,9.8,24.1,205.0,286.2,0.044,0.147,8.591
0.7,10.3,9.6,24.1,205.1,281.9,0.046,0.16,8.589
0.75,9.4,10.2,24.1,205.1,288.9,0.041,0.155,8.593
0.8,9.3,10.5,24.1,205.0,282.2,0.042,0.155,8.586
0.85,10.1,10.0,24.1,205.1,288.7,0.042,0.152,8.594
0.9,14.3,12.6,24.1,205.1,283.4,0.063,0.149,8.588
0.95,186.7,155.0,24.1,205.1,304.8,1.912,3.118,8.731
1.0,347.0,354.9,24.1,204.8,401.5,0.253,0.373,8.595
1.05,149.9,127.8,24.1,204.7,464.7,0.32,0.509,8.59
1.1,217.0,172.0,24.1,204.7,443.3,0.264,0.33,8.58
1.15,267.0,233.3,24.1,204.6,484.9,0.18,0.297,8.592
1.2,291.7,255.7,24.1,204.5,559.3,0.154,0.35,8.588
1.25,300.5,274.5,24.1,204.3,637.3,0.266,0.328,8.596
1.3,297.5,272.3,24.1,204.1,698.3,0.356,0.554,8.59
1.35,300.8,271.3,24.1,203.9,760.2,0.466,0.857,8.603
1.4,322.8,290.0,24.1,203.7,816.7,0.412,0.59,8.583
1.45,321.4,295.5,24.1,203.5,875.7,0.506,0.669,8.605
1.5,350.9,319.6,24.1,203.4,951.3,0.524,0.994,8.599
1.55,372.5,340.8,24.1,203.2,1015.7,0.737,1.08,8.591
1.6,370.1,340.5,24.1,203.0,1064.7,0.685,1.151,8.579
1.65,351.8,315.2,24.1,203.2,1014.2,0.678,0.749,8.612
1.7,344.7,312.3,24.1,203.4,918.9,0.701,1.12,8.581
1.75,343.8,314.1,24.1,203.6,829.6,0.592,0.782,8.604
1.8,347.4,309.6,24.1,203.7,759.3,0.692,0.721,8.593
1.85,339.5,310.3,24.1,203.8,716.3,0.437,0.431,8.596
1.9,343.2,309.7,24.1,203.8,691.5,0.454,0.471,8.581
1.95,339.9,305.8,24.1,203.9,701.0,0.701,0.894,8.601
2.0,339.5,309.3,24.1,203.8,721.1,0.554,0.588,8.606
2.05,345.7,308.4,24.1,203.7,755.4,0.644,0.703,8.591
2.1,345.4,309.3,24.1,203.6,779.8,0.576,0.512,8.593
2.15,340.8,310.0,24.1,203.6,802.1,0.641,0.754,8.604
2.2,346.7,307.5,24.1,203.6,806.2,0.648,0.799,8.593
2.25,342.5,308.2,24.1,203.6,804.7,0.567,0.6,8.606
2.3,334.3,307.8,24.1,203.7,779.2,0.65,0.685,8.593
2.35,345.3,312.3,24.1,203.8,773.7,0.512,0.575,8.597
2.4,336.3,312.3,24.1,203.7,761.3,0.546,0.541,8.598
2.45,340.5,309.1,24.1,203.8,766.5,0.638,0.62,8.604
2.5,345.0,306.5,24.1,203.8,763.4,0.594,0.657,8.594
2.55,337.8,312.7,24.1,203.8,772.1,0.518,0.539,8.594
2.6,344.3,308.5,24.1,203.7,771.2,0.608,0.675,8.596
2.65,343.6,309.7,24.1,203.7,775.9,0.519,0.584,8.604
2.7,319.5,295.0,24.1,203.6,757.2,0.47,0.559,8.584
2.75,294.6,256.7,24.1,203.9,656.0,0.492,0.795,8.619
2.8,288.5,264.4,24.1,204.2,514.3,0.42,0.679,8.602
2.85,282.0,264.5,24.1,204.5,412.7,0.426,0.768,8.598
2.9,222.3,178.8,24.1,204.7,347.5,0.309,0.349,8.584
2.95,152.8,121.5,24.1,204.8,349.8,0.26,0.312,8.592
3.0,123.4,93.5,24.1,204.7,356.8,0.251,0.283,8.582
3.05,64.4,61.7,24.1,204.8,355.1,0.407,0.614,8.605
3.1,57.1,69.8,24.1,204.8,328.9,0.173,0.246,8.582
3.15,65.6,79.3,24.1,204.8,321.5,0.094,0.193,8.597
3.2,34.5,47.2,24.1,204.7,310.2,0.085,0.187,8.587
3.25,71.8,28.5,24.1,204.7,321.0,0.447,0.291,8.592
3.3,146.3,85.8,24.1,204.6,331.9,0.15,0.222,8.587
3.35,168.3,133.7,24.1,204.6,364.1,0.068,0.174,8.598
3.4,166.9,142.2,24.1,204.4,382.0,0.083,0.156,8.584
3.45,136.6,129.3,24.1,204.5,397.0,0.079,0.189,8.594
3.5,106.4,103.3,24.1,204.5,390.1,0.078,0.143,8.585
3.55,95.4,78.5,24.1,204.6,390.2,0.09,0.181,8.592
3.6,81.6,71.7,24.1,204.6,381.9,0.068,0.149,8.592
3.65,84.0,63.3,24.1,204.7,385.4,0.081,0.188,8.591
3.7,94.4,54.5,24.1,204.7,380.5,0.091,0.154,8.59
3.75,96.4,59.9,24.1,204.8,384.1,0.077,0.18,8.586
3.8,104.2,64.3,24.1,204.7,377.5,0.073,0.156,8.592
3.85,113.9,69.0,24.1,204.7,379.1,0.073,0.18,8.591
3.9,109.1,78.0,24.1,204.5,372.3,0.084,0.16,8.586
3.95,103.7,85.7,24.1,204.6,373.4,0.067,0.171,8.597
4.0,106.4,84.8,24.1,204.5,367.3,0.071,0.16,8.585
4.05,96.8,87.8,24.1,204.6,371.0,0.071,0.166,8.592
4.1,97.7,84.1,24.1,204.5,367.0,0.095,0.165,8.595
4.15,104.3,76.1,24.1,204.6,374.8,0.07,0.173,8.587
4.2,99.1,73.7,24.1,204.5,376.5,0.065,0.171,8.59
4.25,98.5,71.5,24.1,204.7,384.8,0.087,0.168,8.596
4.3,101.3,68.4,24.1,204.6,380.0,0.091,0.176,8.592
4.35,91.1,72.9,24.1,204.7,383.4,0.087,0.148,8.594
4.4,91.2,67.1,24.1,204.6,375.7,0.102,0.184,8.588
4.45,90.0,64.7,24.1,204.5,376.0,0.09,0.159,8.592
4.5,84.2,68.5,24.1,204.4,363.0,0.082,0.18,8.59
