feature,baseline_mean,current_mean,drift_sigma,status
mean_current,80.8275,80.8275,0.0,正常
std_current,118.359,118.359,0.0,正常
max_current,367.6734,367.6734,0.0,正常
min_current,9.2803,9.2803,0.0,正常
range_current,358.393,358.393,0.0,正常
p25_current,10.2118,10.2118,0.0,正常
p50_current,11.1197,11.1197,0.0,正常
p75_current,88.9888,88.9888,0.0,正常
duration,10.95,10.95,0.0,正常
data_points,220.0,220.0,0.0,正常
mean_diff,8.4176,8.4176,0.0,正常
max_diff,199.6413,199.6413,0.0,正常
energy,4548133.2469,4548133.2469,0.0,正常
rms_current,143.4234,143.4234,0.0,正常
skewness,1.445,1.445,0.0,正常
kurtosis,0.4265,0.4265,0.0,正常
mean_current_left,81.8028,81.8028,0.0,正常
mean_current_right,79.8522,79.8522,0.0,正常
max_current_left,368.7235,368.7235,0.0,正常
max_current_right,368.8667,368.8667,0.0,正常
