type,model_id,algorithm,score_mean,score_std,threshold_warning,threshold_danger
個別モデル,car1_door1_close,isolation_forest,0.15506241668107132,0.13430620532039364,0.371765241222347,0.8682942166690093
個別モデル,car1_door1_close,lof,0.02776544252249636,0.11434813641283557,0.05142890996077957,0.83190808355413
個別モデル,car1_door1_close,one_class_svm,0.5415408533516677,0.2630941927160084,0.9987360482508865,0.9997092464556103
個別モデル,car1_door1_open,isolation_forest,0.10917091935801124,0.10627641660404274,0.22427391849051573,0.382176586560216
個別モデル,car1_door1_open,lof,0.013055991312763913,0.09244092208886613,0.01257021202175856,0.030682506916570085
個別モデル,car1_door1_open,one_class_svm,0.4594216677515711,0.25585078126750666,0.9974094951200351,0.9994268229417762
統合モデル,unified_open,isolation_forest,0.10917091935801124,0.10627641660404274,,
統合モデル,unified_open,lof,0.013055991312763913,0.09244092208886613,,
統合モデル,unified_open,one_class_svm,0.4594216677515711,0.25585078126750666,,
統合モデル,unified_close,isolation_forest,0.15506241668107132,0.13430620532039364,,
統合モデル,unified_close,lof,0.02776544252249636,0.11434813641283557,,
統合モデル,unified_close,one_class_svm,0.5415408533516677,0.2630941927160084,,
