# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 09:40:16
動作種別,開動作
温度[℃],33.3
湿度[%RH],46.5
気圧[hPa],1014
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.4,9.9,24.1,203.0,285.0,0.046,0.177,8.586
0.1,10.4,10.1,24.1,203.0,280.2,0.043,0.142,8.582
0.15,8.9,10.0,24.1,203.1,288.5,0.046,0.164,8.588
0.2,10.0,9.9,24.1,203.0,282.2,0.046,0.153,8.589
0.25,9.8,9.8,24.1,203.0,287.3,0.045,0.162,8.583
0.3,9.5,9.9,24.1,202.8,279.4,0.053,0.156,8.583
0.35,10.0,10.4,24.1,203.0,285.6,0.041,0.163,8.588
0.4,10.3,10.9,24.1,202.9,282.6,0.037,0.157,8.587
0.45,10.3,10.7,24.1,203.1,290.2,0.03,0.149,8.587
0.5,9.3,10.2,24.1,202.9,283.4,0.04,0.156,8.578
0.55,10.8,9.9,24.1,202.9,286.4,0.049,0.15,8.585
0.6,9.6,9.9,24.1,202.9,276.3,0.056,0.151,8.587
0.65,9.8,10.5,24.1,203.0,286.6,0.041,0.153,8.587
0.7,9.8,9.9,24.1,202.9,283.3,0.039,0.158,8.583
0.75,10.4,9.1,24.1,202.9,289.4,0.037,0.166,8.586
0.8,10.8,9.1,24.1,202.7,278.2,0.042,0.158,8.58
0.85,10.7,9.1,24.1,202.8,280.6,0.045,0.157,8.591
0.9,43.4,53.8,24.1,202.8,277.8,0.128,0.199,8.585
0.95,205.2,204.3,24.1,202.8,308.7,0.099,0.201,8.588
1.0,235.4,357.3,24.1,202.5,393.4,0.225,0.207,8.577
1.05,122.5,141.1,24.1,202.4,422.9,0.259,0.308,8.595
1.1,201.8,201.0,24.1,202.3,419.5,0.098,0.189,8.58
1.15,258.5,273.3,24.1,202.3,485.0,0.155,0.228,8.589
1.2,264.0,302.5,24.1,202.1,571.9,0.185,0.348,8.584
1.25,275.6,320.0,24.1,201.9,658.9,0.232,0.367,8.593
1.3,267.2,316.9,24.1,201.7,733.7,0.26,0.379,8.592
1.35,265.3,319.3,24.1,201.5,805.0,0.29,0.435,8.582
1.4,301.0,343.6,24.1,201.4,866.6,0.386,0.478,8.594
1.45,309.4,353.2,24.1,201.3,929.5,0.406,0.482,8.595
1.5,334.6,364.3,24.1,201.2,1004.8,0.4,0.729,8.595
1.55,366.2,401.3,24.1,201.0,1067.2,0.471,0.758,8.594
1.6,354.7,392.2,24.1,201.0,1112.1,0.517,0.601,8.598
1.65,350.0,359.1,24.1,201.1,1048.6,0.591,1.028,8.638
1.7,347.5,361.4,24.1,201.4,955.7,0.735,0.949,8.609
1.75,359.4,350.7,24.1,201.6,864.8,0.65,0.72,8.625
1.8,352.1,355.8,24.1,201.8,789.2,1.036,0.972,8.602
1.85,356.3,344.9,24.1,201.7,742.8,0.827,0.833,8.608
1.9,351.5,351.1,24.1,201.9,729.0,0.752,0.693,8.591
1.95,340.2,353.0,24.1,201.9,738.6,0.628,0.868,8.634
2.0,349.9,353.8,24.1,201.9,763.3,0.638,0.711,8.607
2.05,345.9,354.0,24.1,201.8,796.4,0.569,0.651,8.609
2.1,341.2,359.9,24.1,201.7,828.3,0.683,0.709,8.613
2.15,346.4,356.4,24.1,201.6,846.7,0.639,0.737,8.599
2.2,348.2,355.1,24.1,201.7,857.3,0.561,0.869,8.605
2.25,337.1,359.3,24.1,201.6,850.2,0.742,0.669,8.636
2.3,355.2,348.9,24.1,201.7,826.3,0.568,0.691,8.592
2.35,342.7,357.7,24.1,201.5,805.5,0.642,0.77,8.614
2.4,348.9,357.1,24.1,201.7,800.4,0.737,0.882,8.609
2.45,352.0,348.3,24.1,201.6,807.0,0.668,0.698,8.622
2.5,342.1,359.3,24.1,201.7,817.5,0.641,0.672,8.611
2.55,345.2,354.6,24.1,201.6,820.8,0.65,0.708,8.63
2.6,351.4,353.8,24.1,201.7,821.6,0.594,0.703,8.593
2.65,342.7,362.3,24.1,201.5,821.4,0.65,0.846,8.647
2.7,349.2,352.5,24.1,201.7,824.9,0.797,0.942,8.609
