# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 15:17:04
動作種別,閉動作
温度[℃],39.6
湿度[%RH],33.1
気圧[hPa],1011
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,8.5,11.0,24.1,204.7,281.7,0.048,0.134,8.605
0.1,9.8,11.7,24.1,204.6,274.3,0.05,0.142,8.6
0.15,8.1,10.9,24.1,204.7,281.1,0.05,0.145,8.605
0.2,9.0,10.7,24.1,204.7,276.6,0.048,0.148,8.599
0.25,9.7,10.5,24.1,204.7,284.5,0.047,0.152,8.602
0.3,9.5,11.3,24.1,204.7,282.1,0.049,0.136,8.6
0.35,9.4,10.2,24.1,204.8,289.1,0.053,0.153,8.606
0.4,9.1,10.7,24.1,204.7,286.9,0.051,0.127,8.604
0.45,8.7,11.0,24.1,204.7,292.5,0.047,0.153,8.603
0.5,9.1,10.4,24.1,204.6,286.2,0.049,0.134,8.599
0.55,8.9,11.0,24.1,204.7,290.7,0.049,0.149,8.601
0.6,9.1,10.4,24.1,204.6,282.3,0.05,0.142,8.603
0.65,9.9,9.2,24.1,204.6,284.6,0.047,0.146,8.603
0.7,10.2,10.8,24.1,204.6,278.1,0.051,0.147,8.603
0.75,8.5,10.5,24.1,204.6,281.0,0.054,0.134,8.605
0.8,9.2,10.5,24.1,204.6,275.6,0.046,0.146,8.6
0.85,9.5,9.6,24.1,204.7,281.4,0.051,0.141,8.608
0.9,22.6,14.6,24.1,204.8,277.3,0.053,0.145,8.603
0.95,184.9,153.3,24.1,204.8,299.8,1.774,2.365,8.649
1.0,312.9,310.6,24.1,204.6,378.3,0.301,0.325,8.606
1.05,138.8,125.5,24.1,204.4,426.1,0.32,0.432,8.6
1.1,205.7,181.7,24.1,204.5,425.6,0.245,0.328,8.601
1.15,274.6,238.3,24.1,204.3,491.9,0.272,0.372,8.602
1.2,304.5,263.4,24.1,204.2,585.1,0.191,0.363,8.601
1.25,312.5,270.9,24.1,204.0,672.0,0.235,0.298,8.608
1.3,305.4,271.1,24.1,203.8,732.5,0.379,0.607,8.6
1.35,301.5,265.5,24.1,203.6,782.4,0.455,0.827,8.602
1.4,316.0,284.1,24.1,203.4,825.5,0.433,0.633,8.605
1.45,319.1,285.5,24.1,203.3,871.8,0.548,0.667,8.608
1.5,346.8,313.4,24.1,203.1,936.5,0.583,1.066,8.611
1.55,370.6,331.3,24.1,202.9,991.6,0.737,0.954,8.61
1.6,365.0,332.9,24.1,202.8,1035.5,0.713,1.143,8.601
1.65,344.7,314.4,24.1,202.9,982.5,0.685,0.929,8.6
1.7,341.4,307.3,24.1,203.1,887.3,0.765,1.151,8.62
1.75,339.6,310.0,24.1,203.3,800.2,0.639,0.768,8.608
1.8,347.0,310.0,24.1,203.6,732.7,0.678,0.749,8.615
1.85,338.9,311.2,24.1,203.7,700.7,0.592,0.719,8.602
1.9,339.7,305.7,24.1,203.7,681.9,0.592,0.635,8.621
1.95,338.2,303.9,24.1,203.7,690.4,0.585,0.518,8.613
2.0,330.3,303.1,24.1,203.7,717.4,0.545,0.545,8.608
2.05,342.7,303.8,24.1,203.5,753.7,0.538,0.651,8.59
2.1,341.8,304.5,24.1,203.5,786.0,0.529,0.598,8.614
2.15,333.8,306.5,24.1,203.3,804.5,0.652,0.812,8.602
2.2,339.3,304.9,24.1,203.4,803.1,0.673,0.812,8.608
2.25,340.0,305.8,24.1,203.3,795.9,0.522,0.566,8.602
2.3,330.4,300.3,24.1,203.4,764.9,0.45,0.554,8.609
2.35,342.0,303.4,24.1,203.5,743.5,0.516,0.567,8.612
2.4,333.7,307.6,24.1,203.5,733.0,0.445,0.511,8.616
2.45,336.3,306.3,24.1,203.6,729.6,0.56,0.514,8.604
2.5,340.3,305.5,24.1,203.6,733.4,0.554,0.55,8.602
2.55,331.2,305.6,24.1,203.6,741.7,0.494,0.488,8.605
2.6,335.0,300.9,24.1,203.7,751.1,0.612,0.607,8.607
2.65,339.8,303.1,24.1,203.6,765.2,0.491,0.465,8.607
2.7,322.7,294.4,24.1,203.6,772.5,0.564,0.565,8.609
2.75,289.5,251.8,24.1,203.7,685.9,0.797,1.03,8.647
2.8,284.9,262.7,24.1,204.1,555.1,0.435,0.675,8.613
2.85,281.1,262.2,24.1,204.3,436.6,0.419,0.86,8.607
2.9,220.4,177.4,24.1,204.5,353.3,0.291,0.393,8.598
2.95,152.8,126.0,24.1,204.4,338.1,0.231,0.266,8.599
3.0,124.4,91.9,24.1,204.4,345.5,0.214,0.264,8.599
3.05,62.1,61.3,24.1,204.4,347.5,0.179,0.256,8.611
3.1,54.9,66.5,24.1,204.5,324.1,0.175,0.239,8.596
3.15,69.8,77.2,24.1,204.5,313.0,0.141,0.19,8.602
3.2,37.0,50.9,24.1,204.6,305.1,0.09,0.185,8.604
3.25,59.7,25.6,24.1,204.5,314.6,0.22,0.24,8.612
3.3,134.5,74.9,24.1,204.5,327.7,0.176,0.274,8.594
3.35,165.7,124.9,24.1,204.5,358.1,0.07,0.148,8.606
3.4,168.9,139.5,24.1,204.5,389.3,0.078,0.163,8.599
3.45,143.8,126.8,24.1,204.3,409.9,0.076,0.165,8.599
3.5,113.6,105.6,24.1,204.4,411.4,0.069,0.153,8.607
3.55,96.1,77.1,24.1,204.2,403.9,0.087,0.155,8.603
3.6,84.2,70.2,24.1,204.5,393.1,0.079,0.165,8.598
3.65,83.0,60.3,24.1,204.4,386.8,0.084,0.168,8.597
3.7,93.8,52.9,24.1,204.4,378.2,0.073,0.15,8.607
3.75,94.6,55.0,24.1,204.3,375.7,0.085,0.148,8.61
3.8,102.0,56.6,24.1,204.4,372.5,0.082,0.158,8.597
3.85,110.9,66.2,24.1,204.3,372.5,0.076,0.16,8.6
3.9,105.7,74.4,24.1,204.4,372.9,0.083,0.15,8.598
3.95,105.8,79.2,24.1,204.4,373.4,0.081,0.144,8.609
4.0,110.3,80.9,24.1,204.4,373.5,0.072,0.168,8.601
4.05,97.2,87.5,24.1,204.4,374.3,0.08,0.135,8.6
4.1,99.4,80.1,24.1,204.4,374.3,0.085,0.164,8.6
4.15,102.0,73.8,24.1,204.4,374.5,0.074,0.145,8.602
4.2,95.2,75.1,24.1,204.5,374.8,0.082,0.156,8.597
4.25,101.3,71.3,24.1,204.4,378.6,0.084,0.155,8.607
4.3,100.1,68.0,24.1,204.5,379.7,0.082,0.173,8.594
4.35,92.6,73.0,24.1,204.4,382.4,0.085,0.139,8.603
4.4,91.5,67.6,24.1,204.5,381.6,0.087,0.166,8.598
4.45,89.4,66.5,24.1,204.3,382.8,0.062,0.144,8.609
4.5,82.9,66.5,24.1,204.4,376.8,0.083,0.173,8.604
4.55,91.6,63.7,24.1,204.3,376.7,0.088,0.147,8.597
4.6,96.3,63.1,24.1,204.4,375.1,0.083,0.166,8.602
4.65,92.3,67.2,24.1,204.2,374.1,0.101,0.151,8.606
4.7,99.5,66.1,24.1,204.3,371.0,0.104,0.168,8.601
4.75,98.1,68.0,24.1,204.3,371.2,0.11,0.157,8.606
4.8,90.4,61.1,24.1,204.3,368.4,0.735,1.142,8.634
4.85,251.5,308.1,24.1,204.2,341.2,1.405,2.273,8.736
4.9,182.5,147.8,24.1,204.4,314.4,0.138,0.211,8.603
4.95,24.1,23.7,24.1,204.5,303.4,0.26,0.269,8.604
5.0,28.4,15.7,24.1,204.7,294.9,0.088,0.133,8.597
5.05,11.0,9.8,24.1,204.4,294.2,0.06,0.17,8.604
5.1,9.9,10.2,24.1,204.6,291.1,0.062,0.143,8.6
5.15,10.7,10.7,24.1,204.5,292.2,0.056,0.156,8.604
5.2,9.1,9.9,24.1,204.6,291.0,0.057,0.137,8.602
5.25,9.6,12.2,24.1,204.6,290.8,0.047,0.159,8.602
5.3,9.2,10.2,24.1,204.6,288.5,0.055,0.148,8.6
5.35,8.7,11.2,24.1,204.5,289.6,0.049,0.133,8.606
5.4,10.0,11.5,24.1,204.6,286.0,0.053,0.161,8.598
5.45,8.7,10.3,24.1,204.5,285.6,0.052,0.126,8.603
5.5,8.7,9.5,24.1,204.6,282.9,0.052,0.154,8.598
5.55,8.8,9.6,24.1,204.6,283.1,0.043,0.14,8.608
5.6,9.0,10.6,24.1,204.7,281.4,0.048,0.153,8.599
5.65,10.4,10.8,24.1,204.6,281.0,0.049,0.127,8.605
